student_id,age,gender,city,study_hours,attendance,math_score,science_score,english_score,placement,salary_lpa
1,21,M,Hyderabad,2,61,87,57,55,No,0
2,18,M,Mumbai,9,65,77,67,42,No,0
3,21,F,Mumbai,4,92,78,41,75,No,0
4,20,F,Delhi,8,97,57,91,95,Yes,3
5,19,M,Chennai,5,69,53,88,61,No,0
6,22,M,Chennai,2,82,94,62,78,No,0
7,22,F,Bengaluru,9,67,99,64,45,No,0
8,22,M,Mumbai,4,64,42,82,54,No,0
9,23,M,Delhi,2,84,57,69,80,No,0
10,20,M,Mumbai,6,73,82,57,84,Yes,4
11,21,F,Hyderabad,8,84,57,99,80,Yes,11
12,22,M,Mumbai,4,62,91,60,65,No,0
13,24,F,Mumbai,10,80,53,81,71,No,0
14,22,F,Bengaluru,5,68,55,87,75,Yes,11
15,25,M,Hyderabad,7,83,54,48,72,No,0
16,24,M,Chennai,2,69,80,50,90,No,0
17,18,M,Bengaluru,7,98,69,73,56,No,0
18,20,F,Hyderabad,5,81,47,58,67,No,0
19,22,M,Mumbai,5,92,88,51,72,Yes,4
20,18,F,Chennai,6,70,74,89,99,Yes,11
21,22,M,Hyderabad,1,67,99,63,96,No,0
22,25,M,Bengaluru,4,96,100,45,45,No,0
23,20,F,Bengaluru,3,68,82,70,100,No,0
24,22,F,Delhi,10,87,53,99,74,Yes,6
25,21,M,Delhi,8,93,68,47,55,No,0
26,21,M,Hyderabad,1,97,75,54,77,No,0
27,23,M,Bengaluru,1,74,44,97,42,No,0
28,20,F,Mumbai,4,77,82,71,53,No,0
29,24,F,Chennai,8,86,52,46,46,No,0
30,18,F,Delhi,7,89,95,86,43,Yes,4
31,25,M,Chennai,2,75,52,52,74,No,0
32,19,F,Bengaluru,3,77,69,55,95,No,0
33,18,M,Mumbai,2,63,81,74,93,No,0
34,24,M,Mumbai,3,86,71,70,53,No,0
35,22,F,Bengaluru,7,60,64,56,99,Yes,10
36,18,M,Delhi,8,69,52,58,53,No,0
37,20,M,Bengaluru,1,63,77,70,72,No,0
38,21,F,Hyderabad,2,71,44,78,44,No,0
39,19,F,Bengaluru,10,75,77,78,42,No,0
40,23,M,Delhi,10,93,60,99,56,Yes,6
41,23,M,Hyderabad,7,68,82,81,59,Yes,10
42,21,F,Mumbai,8,99,76,46,44,No,0
43,20,F,Bengaluru,6,64,96,55,63,Yes,7
44,22,M,Mumbai,5,99,91,81,73,Yes,3
45,20,F,Delhi,5,67,96,46,87,Yes,11
46,22,F,Delhi,10,73,85,61,53,No,0
47,22,M,Hyderabad,1,65,80,67,93,No,0
48,25,F,Bengaluru,6,68,80,56,50,No,0
49,20,M,Delhi,1,67,44,100,96,No,0
50,18,F,Delhi,10,95,49,67,48,No,0
51,19,F,Bengaluru,1,82,53,83,55,No,0
52,20,M,Chennai,7,99,87,49,99,Yes,6
53,24,M,Delhi,1,71,87,99,61,No,0
54,25,M,Mumbai,3,66,64,95,42,No,0
55,21,M,Mumbai,8,82,59,92,90,Yes,6
56,22,F,Bengaluru,7,81,57,95,44,No,0
57,19,F,Mumbai,7,94,61,100,41,No,0
58,24,F,Delhi,10,76,42,46,78,No,0
59,21,F,Hyderabad,7,98,72,47,64,No,0
60,21,F,Chennai,7,60,73,99,91,Yes,11
61,19,F,Bengaluru,2,81,79,60,82,No,0
62,22,M,Mumbai,5,86,60,65,84,No,0
63,22,F,Bengaluru,7,84,83,87,97,Yes,5
64,23,F,Chennai,1,79,58,53,67,No,0
65,19,F,Bengaluru,8,73,72,70,90,Yes,5
66,22,M,Mumbai,10,81,45,92,100,Yes,6
67,19,F,Chennai,3,61,42,55,70,No,0
68,24,M,Mumbai,10,72,85,84,64,Yes,10
69,20,F,Hyderabad,1,66,89,67,54,No,0
70,20,F,Bengaluru,9,75,98,94,47,Yes,10
71,24,F,Mumbai,9,98,60,100,88,Yes,10
72,22,F,Mumbai,8,88,56,88,55,No,0
73,21,F,Delhi,5,88,44,85,58,No,0
74,21,F,Mumbai,6,94,45,48,49,No,0
75,25,F,Hyderabad,4,64,66,66,61,No,0
76,18,F,Chennai,4,86,64,97,89,No,0
77,24,M,Chennai,1,82,59,88,64,No,0
78,24,F,Chennai,4,77,67,71,41,No,0
79,18,F,Bengaluru,3,89,98,48,79,No,0
80,20,F,Mumbai,10,61,45,81,67,No,0
81,25,F,Delhi,1,76,64,60,53,No,0
82,22,M,Chennai,7,77,88,100,93,Yes,9
83,21,M,Hyderabad,1,94,43,100,62,No,0
84,20,M,Mumbai,1,75,52,93,41,No,0
85,22,F,Mumbai,8,67,76,100,53,Yes,10
86,22,M,Bengaluru,10,98,87,85,47,Yes,5
87,24,F,Mumbai,1,79,76,83,98,No,0
88,21,M,Delhi,2,97,84,93,80,No,0
89,23,F,Delhi,10,67,90,76,90,Yes,3
90,24,F,Hyderabad,2,92,81,61,40,No,0
91,20,F,Mumbai,7,83,80,97,93,Yes,10
92,25,F,Chennai,9,77,79,91,98,Yes,11
93,19,F,Chennai,10,77,60,94,55,No,0
94,24,F,Hyderabad,4,89,76,79,82,No,0
95,23,F,Delhi,8,80,51,71,53,No,0
96,18,M,Hyderabad,5,98,84,96,57,Yes,11
97,21,F,Chennai,4,86,71,75,88,No,0
98,24,M,Delhi,8,61,45,58,54,No,0
99,24,F,Delhi,10,83,70,75,73,Yes,8
100,19,M,Delhi,8,77,59,56,54,No,0
